id_calle,orden_carga,nombre_calle,observacion_calle
249,247,"Roca , Julio Argentino","Zonas 17 , 30 , 37 , 39 Y 41"
250,248,"Cereceda , Teodoro",Pueyrredon
251,249,"Berardi , Salvador",Pueyrredon
252,250,"Freile , Angel",Pueyrredon - Humberto Beghin
253,251,"Arburua , Manuel",Pueyrredon - Humberto Beghin
254,252,"Lavalle , Cosme Comisario Principal",Pueyrredon
255,253,"Belcastro , Antonio",Pueyrredon - Humberto Beghin
256,254,Combate Vuelta de Obligado,Pueyrredon
257,255,"Girolamo , Enrique De",Pueyrredon - Humberto Beghin - 30 de Octubre
258,256,La Nacion,Pueyrredon
259,257,Colonos Galeses,Pueyrredon - Tte. Gral. Julio Argentino Roca
260,258,Colonos Vascos,Pueyrredon
261,259,"Larraude , Julio Cesar Don",Pueyrredon
262,260,Canada,Pueyrredon - Tte. Gral. Julio Argentino Roca
263,261,Colonos Sudafricanos,Pueyrredon
264,262,"Moreau de Justo , Alicia Doctora",Pueyrredon
265,263,"Saenz Peña , Luis",Pueyrredon
266,264,"Jauretche , Arturo",Pueyrredon
267,265,"Diaz de Solis , Juan",Pueyrredon
268,266,"Lopez Y Planes , Vicente",Pueyrredon
269,267,"Saavedra , Onofre Sargento",Pueyrredon
270,268,"Palacios , Alfredo",Pueyrredon
271,269,"Forcada , Anibal Don",Pueyrredon
272,270,"Raso , Manuel Pio Doctor",Pueyrredon
273,271,"Frondizi , Arturo Presidente",Pueyrredon
274,272,"Sanchez , Mariquita",Pueyrredon - 30 de Octubre
275,273,Tripulacion Gandul,Pueyrredon
276,274,San Jose de Jachal,Pueyrredon - 30 de Octubre
277,275,Los Constituyentes,Humberto Beghin - 30 de Octubre - Pueyrredon
278,276,"Tejo , Francisco Doctor",Pueyrredon
279,277,"Moran , Antonio",Pueyrredon
280,278,"Herrera , Oscar Arturo Doctor",Pueyrredon
281,279,"Alonso , Cipriano",Pueyrredon
282,280,"Reina , Ramon Deomar",Pueyrredon
283,281,"Miljukow , Basilio",Pueyrredon
284,282,"Barcelo , Gabriel",Pueyrredon
285,283,"Arcioni , Anibal Jose Doctor",Pueyrredon
286,284,Chile,Pueyrredon - 30 de Octubre - Mario Abel Amaya
287,285,La Razon,Pueyrredon
288,286,La Gaceta de Buenos Aires,Pueyrredon
289,287,Callao,Pueyrredon
290,288,Libertad,Pueyrredon
291,289,Estados Arabes,Tte. Gral. Julio Argentino Roca
292,290,Portugal,Tte. Gral. Julio Argentino Roca
293,291,Monseñor Miguel de Andrea,Jose Fuchs - Tte. Gral. Julio A. Roca - Humberto Beghin
294,292,"Samper Lopez , Francisco",Tte. Gral. Julio Argentino Roca
295,293,"Suazo , Jose",Tte. Gral. Julio Argentino Roca
296,294,"Ramirez , Jose Anselmo Sargento",Tte. Gral Julio Argentino Roca
297,295,Esquel,Tte. Gral. Julio Argentino Roca
298,296,El Chubut,Tte. Gral. Julio Argentino Roca
299,297,Jornada,Tte. Gral. Julio Argentino Roca
300,298,"Ladvocat , Julio Doctor",Humberto Beghin
301,299,"Szlapelis , Casimiro",Humberto Beghin
302,300,"Alvarez , Jose",Humberto Beghin
303,301,"Dalle Mura , Jose B.",Humberto Beghin
304,302,"Manson , Hugo",Humberto Beghin - Stella Maris
305,303,"Carante , Fortunato",Humberto Beghin - Stella Maris
306,304,"Pella , Casimiro",Humberto Beghin - Stella Maris
307,305,"Colello , Pedro",Humberto Beghin - Stella Maris
308,306,"Pinedo , Jose A.",Humberto Beghin - Stella Maris
309,307,"Carrozzi , Jose",Humberto Beghin
310,308,"Blanc , Alberto",Humberto Beghin - Stella Maris
311,309,"Bilbao , Juan",Humberto Beghin - Stella Maris
312,310,"Grillo , Benito",Humberto Beghin
313,311,"Gallino , Luis",Humberto Beghin - Stella Maris
314,312,"Gastaldi , Lorenzo",Humberto Beghin - Stella Maris
315,313,"Riadigos , Marcial",Humberto Beghin - Stella Maris
316,314,"Peral , Sebastian",Humberto Beghin
317,315,"Gatica , Ignacio",Humberto Beghin - Stella Maris
318,316,"Sanchez , Luis",Humberto Beghin
319,317,Cruz Abeijon,Humberto Beghin
320,318,"Moral , Nicolas",Humberto Beghin
321,319,"Gonzalez , Roque",Humberto Beghin
322,320,"Corcoy , Enrique",Humberto Beghin
323,321,"Sacerdote , Humberto",Humberto Beghin
324,322,"Matos , Jose",Humberto Beghin
325,323,"Oneto , Raul",Humberto Beghin
326,324,Santos Arroyabe,Humberto Beghin
327,325,"Leguizamon , Guillermo Doctor",Humberto Beghin
328,326,"Corcoy , Maria",Humberto Beghin
329,327,"Biasussi , Angel Emiliano",Humberto Beghin
330,328,"Rosas , Agustin Ingeniero",Humberto Beghin
331,329,"Canova , Eloy",Humberto Beghin
332,330,"Plate , Juan",Humberto Beghin
333,331,"Fernandez , Elviro",Humberto Beghin
334,332,"Cabezas , Julio Argentino",Humberto Beghin
335,333,"Farrel , Santiago",Humberto Beghin
336,334,"Kirn , Carlos",Humberto Beghin
337,335,"Salso , Francisco",Humberto Beghin
338,336,"Lopez Arias , Antonio Doctor",Humberto Beghin
339,337,"Salso , Jose",Humberto Beghin
340,338,"Sañudo , Andres",Humberto Beghin
341,339,"Brohman , Soil",Humberto Beghin
342,340,"Vueguen , Juan P.",Humberto Beghin
